Comment,Designator,Footprint,LCSC
10nF,C2,C_0402_1005Metric,C15195
0.1uF,"C1,C6,C7",C_0402_1005Metric,C1525
15pF,C3,C_0402_1005Metric,C1548
68R,"R3,R4",R_0402_1005Metric,C25131
30K,R2,R_0402_1005Metric,C25776
5.1K,"R5,R6,R7",R_0402_1005Metric,C25905
68K,R1,R_0402_1005Metric,C36871
1uF,"C5,C8",C_0402_1005Metric,C52923
10uF,C4,C_0603_1608Metric,C96446
LOAD CELL,J1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
MCU,J2,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,
TPS79301-EP,U2,SOT-23-6,
ADS1115IDGS,U1,TSSOP-10_3x3mm_P0.5mm,
