Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,131.25,-80.75,-90.0,top
C2,1uF,C_0402_1005Metric,129.25,-87.48,-90.0,top
C3,4.7nF,C_0402_1005Metric,134.5,-81.75,0.0,top
C4,1uF,C_0402_1005Metric,131.25,-89.68,-90.0,top
C5,10uF,C_0603_1608Metric,132.75,-80.225,90.0,top
C6,1uF,C_0402_1005Metric,134.0,-80.27,-90.0,top
C7,10uF,C_0603_1608Metric,121.25,-86.525,-90.0,top
C8,0.1uF,C_0402_1005Metric,122.5,-89.98,90.0,top
C9,10uF,C_0603_1608Metric,128.775,-76.5,180.0,top
C10,470pF,C_0603_1608Metric,128.775,-78.5,180.0,top
C11,10uF,C_0603_1608Metric,125.75,-86.525,-90.0,top
C12,10uF,C_0603_1608Metric,121.8,-77.275,-90.0,top
C13,0.1uF,C_0402_1005Metric,138.0,-84.0,90.0,top
C14,1uF,C_0402_1005Metric,138.0,-82.0,90.0,top
C15,0.1uF,C_0402_1005Metric,138.0,-80.0,90.0,top
L1,1uH,L_Murata_DFE201610P,123.5,-84.0,180.0,top
R1,47R,R_0402_1005Metric,117.5,-86.0,0.0,top
R2,47R,R_0402_1005Metric,117.5,-84.0,180.0,top
R3,47R,R_0402_1005Metric,117.5,-82.0,0.0,top
R4,47R,R_0402_1005Metric,117.5,-80.0,0.0,top
R5,47R,R_0402_1005Metric,117.5,-78.0,0.0,top
R6,47R,R_0402_1005Metric,117.5,-76.0,0.0,top
R7,100K,R_0402_1005Metric,125.5,-90.0,-90.0,top
R8,100K,R_0402_1005Metric,124.5,-90.0,90.0,top
R9,68R,R_0402_1005Metric,139.5,-82.5,0.0,top
R10,68R,R_0402_1005Metric,139.5,-81.5,180.0,top
