time_us         delay   reading
78532680        120     24
78533857        119     23
78535035        121     22
78536212        115     23
78537390        119     22
78538567        116     20
78539744        118     21
78540922        117     21
78542099        123     22
78543276        123     23
78544454        117     23
78545631        118     22
78546809        118     22
78547986        119     24
78549163        117     21
78550341        117     23
78551518        117     22
78552696        118     23
78553873        118     22
78555050        118     24
78556227        118     22
78557405        119     22
78558583        118     22
78559760        120     23
78560938        116     22
78562115        118     23
78563292        116     22
78564470        118     23
78565647        120     22
78566824        119     23
78568002        118     23
78569179        120     23
78570357        119     22
78571534        118     24
78572711        119     25
78573888        117     23
78575066        118     23
78576243        119     22
78577420        123     24
78578597        119     24
78579775        118     22
78580952        118     23
78582129        119     24
78583307        118     24
78584485        118     23
78585662        117     23
78586840        119     23
78588017        117     23
78589194        117     23
78590371        117     22
78591548        117     23
78592725        119     23
78593903        118     23
78595080        119     24
78596257        117     21
78597435        119     23
78598612        115     23
78599790        118     24
78600967        117     22
78602145        117     23
78603323        118     23
78604500        118     21
78605677        121     24
78606855        120     23
78608033        116     23
78609209        118     23
78610386        119     22
78611564        117     21
78612741        117     22
78613918        121     24
78615096        118     20
78616274        119     22
78617451        118     23
78618628        119     23
78619806        116     23
78620983        119     23
78622161        117     23
78623339        117     21
78624516        119     22
78625693        118     21
78626871        118     24
78628049        118     24
78629226        117     24
78630403        119     21
78631581        120     21
78632759        117     23
78633936        118     24
78635114        118     23
78636291        122     21
78637468        118     22
78638645        118     21
78639822        116     23
78641000        121     23
78642177        120     23
78643354        118     23
78644532        117     21
78645709        119     22
78646886        120     22
78648064        117     23
78649241        118     22
78650419        119     23
78651596        117     24
78652773        121     21
78653951        117     24
78655128        118     24
78656306        117     22
78657484        118     22
78658661        119     22
78659838        121     21
78661015        118     23
78662193        118     22
78663370        120     21
78664547        121     24
78665724        117     23
78666901        118     23
78668079        118     23
78669256        119     22
78670434        121     22
78671611        118     25
78672788        118     22
78673965        123     23
78675143        121     22
78676321        120     23
78677498        120     21
78678675        118     23
78679853        123     25
78681031        121     23
78682208        117     23
78683385        117     25
78684562        120     22
78685740        122     23
78686917        116     22
78688094        118     22
78689272        119     23
78690449        117     22
78691627        122     21
78692804        121     25
78693981        118     21
78695158        118     22
78696336        123     22
78697513        119     24
78698691        116     23
78699868        116     23
78701045        118     21
78702222        118     24
78703400        120     23
78704577        117     23
78705754        118     23
78706932        117     23
78708110        121     21
78709287        117     24
78710465        121     21
78711642        117     23
78712820        120     23
78713997        119     22
78715174        123     23
78716352        118     23
78717530        119     22
78718707        116     23
78719885        119     25
78721063        119     24
78722240        118     22
78723417        119     24
78724595        118     23
78725772        120     23
78726949        119     22
78728127        117     24
78729304        118     23
78730482        120     22
78731659        120     22
78732838        120     25
78734014        120     24
78735192        118     23
78736369        120     22
78737547        117     22
78738724        118     21
78739901        116     24
78741079        119     22
78742257        120     22
78743434        121     22
78744611        117     22
78745789        118     23
78746966        118     21
78748143        118     24
78749321        119     21
78750498        122     23
78751676        117     22
78752853        118     23
78754030        116     23
78755208        118     23
78756385        118     22
78757562        119     22
78758739        119     21
78759917        119     24
78761095        119     22
78762271        119     22
78763449        117     25
78764626        117     24
78765804        118     22
78766980        116     25
78768158        119     24
78769336        118     23
78770513        120     22
78771691        116     21
78772868        118     21
78774045        123     22
78775223        119     20
78776400        120     24
78777578        117     23
78778755        118     22
78779933        120     22
78781110        115     25
78782287        118     23
78783464        117     23
78784642        118     23
78785820        118     23
78786997        117     24
78788174        120     22
78789351        118     23
78790528        117     22
78791706        116     22
78792883        118     23
78794061        119     23
78795238        117     22
78796416        117     23
78797592        120     23
78798770        119     23
78799947        119     24
78801125        123     22
78802302        120     23
78803480        119     22
78804657        121     21
78805835        120     22
78807012        118     23
78808189        117     23
78809367        120     22
78810544        117     25
78811722        118     24
78812899        118     22
78814076        121     25
78815253        118     24
78816431        122     24
78817608        120     20
78818786        116     23
78819963        119     23
78821141        120     22
78822318        118     22
78823495        116     22
78824673        119     24
78825850        119     21
78827028        121     21
78828205        119     23
78829383        119     23
78830560        117     23
78831738        117     23
78832915        118     23
78834092        119     22
78835270        119     22
78836448        117     23
78837625        123     23
78838802        117     23
78839980        117     23
78841158        117     23
78842335        121     23
78843512        120     23
78844689        119     23
78845867        119     25
78847044        117     23
78848221        124     23
78849399        116     22
78850576        119     24
78851754        117     23
78852931        119     23
78854108        121     22
78855285        119     21
78856463        116     23
78857640        118     22
78858817        120     22
78859995        118     23
78861172        116     21
78862349        116     21
78863527        120     23
78864704        117     21
78865882        119     22
78867059        119     23
78868237        121     22
78869414        118     23
78870591        118     23
78871769        119     22
78872946        121     24
78874124        120     23
78875301        123     25
78876478        118     23
78877656        117     23
78878833        121     23
78880011        116     24
78881188        117     22
78882366        119     22
78883543        118     24
78884721        118     23
78885897        117     22
78887075        120     23
78888252        119     22
78889430        116     23
78890608        116     22
78891786        118     22
78892962        116     25
78894140        120     23
78895318        118     24
78896496        120     20
78897672        120     24
78898850        121     23
78900027        119     23
78901205        121     23
78902382        122     23
78903560        119     23
78904737        119     23
78905915        118     22
78907092        116     23
78908270        119     23
78909447        115     22
78910624        120     23
78911802        118     23
78912979        122     25
78914157        118     22
78915334        119     23
78916512        117     22
78917689        117     23
78918866        118     24
78920044        118     22
78921221        118     22
78922398        118     23
78923576        118     24
78924753        119     23
78925931        117     22
78927108        120     23
78928285        119     22
78929463        121     22
78930640        117     21
78931817        117     22
78932994        120     24
78934171        117     24
78935349        120     22
78936526        120     21
78937704        117     23
78938881        119     24
78940059        118     22
78941236        116     21
78942413        117     23
78943591        117     24
78944768        115     23
78945946        120     23
78947123        119     22
78948301        120     22
78949478        117     21
78950656        119     23
78951833        116     23
78953010        117     22
78954188        119     24
78955365        118     23
78956542        118     23
78957720        119     23
78958897        117     23
78960075        120     23
78961252        117     23
78962430        120     24
78963607        122     23
78964785        118     21
78965962        116     21
78967140        116     23
78968317        122     23
78969494        118     22
78970671        117     23
78971849        117     25
78973026        116     24
78974204        118     23
78975381        120     23
78976558        120     22
78977735        122     22
78978913        117     23
78980091        120     20
78981268        116     24
78982445        118     22
78983623        118     22
78984800        119     25
78985978        120     23
78987156        118     22
78988332        119     23
78989509        120     23
78990687        120     22
78991864        124     21
78993042        120     22
78994219        120     22
78995396        120     21
78996574        118     24
78997751        120     22
78998929        120     23
79000107        119     23
79001283        119     22
79002461        117     23
79003638        119     22
79004816        121     24
79005994        120     23
79007171        118     23
79008349        118     22
79009526        117     23
79010703        117     21
79011880        116     22
79013058        118     24
79014235        118     21
79015412        119     23
79016589        119     22
79017766        119     20
79018944        118     25
79020121        122     23
79021299        117     23
79022476        118     23
79023654        119     23
79024831        118     21
79026009        118     23
79027186        117     24
79028364        118     22
79029540        116     22
79030718        120     23
79031895        117     23
79033072        120     22
79034250        119     23
79035427        119     23
79036605        120     24
79037781        119     22
79038959        115     21
79040136        118     23
79041314        118     23
79042491        118     21
79043669        120     21
79044846        115     24
79046024        118     22
79047201        116     22
79048378        116     23
79049556        118     22
79050733        124     21
79051910        118     22
79053088        117     23
79054265        120     21
79055442        115     24
79056619        117     23
79057796        117     23
79058974        120     22
79060151        116     22
79061329        120     23
79062506        118     21
79063684        120     21
79064861        118     22
79066038        120     23
79067215        120     23
79068393        121     22
79069570        119     22
79070747        117     24
79071925        117     21
79073103        118     23
79074280        118     22
79075457        119     22
79076635        118     23
79077813        118     23
79078990        119     23
79080167        119     22
79081346        119     23
79082522        118     23
79083699        117     23
79084877        118     22
79086054        119     22
79087232        118     24
79088408        118     24
79089586        119     22
79090764        118     23
79091941        117     22
79093118        118     22
79094296        117     21
79095473        118     21
79096650        118     22
79097828        119     23
79099005        117     24
79100182        118     24
79101359        117     23
79102537        120     23
79103714        120     21
79104892        117     23
79106069        120     23
79107246        119     23
79108423        121     22
79109601        121     23
79110779        118     22
79111956        117     20
79113134        117     23
79114311        119     22
79115488        121     24
79116666        116     23
79117843        121     23
79119020        118     24
79120197        116     21
79121375        117     22
79122552        118     24
79123729        120     24
